#{"t_start": 1769913444.6572013, "env_id": "None"}
r,l,t
-2.00145,3,17625.572417
-2.0122,6,17668.526158
-2.0051,8,17731.690373
-2.00365,3,17754.182686
-2.02415,8,17807.664422
-2.0106,7,17860.483487
-2.00285,3,17881.630475
-2.00285,2,17898.775168
-2.00695,5,17929.918897
-2.0159,15,18039.052027
-2.005,5,18078.58812
-2.0106,6,18122.405601
-2.0021,3,18143.116335
-2.00915,4,18168.540109
-2.0009,3,18197.411956
-2.00425,3,18222.101843
-2.01695,4,18254.648195
-2.00995,6,18299.552975
-2.00405,2,18316.782335
-2.00265,4,18344.881769
-2.0037,4,18379.145258
-2.01435,9,18440.007633
-2.0058,5,18475.876433
-2.02645,10,18551.405337
-2.0069,3,18573.714988
-2.00305,2,18588.55467
-2.00245,2,18603.964614
-2.00145,6,18645.328798
-2.00125,2,18662.28813
-2.0206,13,18749.749276
-2.01125,9,18810.634275
-2.0041,4,18842.900259
-2.00495,4,18873.464912
-2.00735,7,18922.155284
-2.0057,4,18954.721798
-2.0212,12,19036.346857
-2.0061,3,19060.842275
-2.0652,21,19205.423354
-2.00325,4,19231.761389
-2.005,5,19272.187346
-2.0065,4,19297.922537
-2.01715,11,19372.207511
-2.0049,3,19394.513111
-2.00265,3,19412.595074
-2.00465,2,19429.62253
-2.00225,2,19442.96909
-2.00285,2,19460.301094
-2.01825,6,19502.100832
-2.00405,2,19514.736289
-2.00355,4,19545.899602
-2.01095,4,19573.451313
-2.05335,13,19669.01806
-2.01125,8,19727.373417
-2.00365,4,19753.639521
-2.0065,3,19774.118019
-2.00495,4,19802.061355
-2.01825,7,19852.30182
-2.00365,3,19875.494334
-2.0045,4,19906.198013
-2.0061,3,19928.967716
-2.0082,8,19984.932315
-2.01425,6,20030.077677
-2.00425,2,20045.23808
-2.0053,4,20077.177709
-2.00185,3,20097.619656
-2.0073,4,20127.417638
-2.01225,6,20172.835776
-2.0049,6,20217.491391
-2.0265,11,20289.484294
-2.0037,3,20309.685847
-2.009,5,20342.931453
-2.0082,6,20389.558122
-2.0081,3,20413.451476
-2.0069,9,20474.98308
-2.0134,6,20520.161854
-2.0255,8,20577.998344
-2.00855,4,20612.611433
-2.00975,4,20640.372912
-2.00735,5,20676.279691
-2.009,5,20711.789113
-2.00265,2,20726.522754
-2.0385,11,20805.053213
-2.04185,10,20878.105776
-2.00735,4,20908.437027
-2.02135,11,20991.992018
-2.0049,4,21022.538742
-2.00405,4,21058.039521
-2.00615,4,21084.495376
-2.0069,4,21113.687369
-2.02555,13,21203.41705
-2.00205,3,21225.885487
-2.01095,5,21261.390703
-2.01155,4,21288.968426
-2.0111,9,21356.910708
-2.0074,6,21400.150283
-2.00925,11,21478.885482
-2.02075,8,21541.186888
-2.0066,5,21583.051575
-2.017,5,21621.179245
-2.00225,2,21638.672649
-2.0186,7,21690.865076
-2.0085,6,21740.323018
-2.00485,2,21758.818848
-2.0069,3,21790.811906
-2.00305,2,21805.619046
-2.00205,3,21829.994686
-2.04225,14,21929.41314
-2.0148,10,22004.00983
-2.0057,5,22037.765213
-2.0066,6,22087.750742
-2.0085,5,22120.809975
-2.01995,8,22179.234554
-2.0069,7,22225.355386
-2.00145,5,22262.658077
-2.0089,4,22294.863484
-2.01215,7,22350.121762
-2.0049,5,22385.838816
-2.0085,3,22410.623035
-2.00205,3,22428.658151
-2.00405,4,22459.135337
-2.0069,3,22479.429385
-2.00975,6,22522.513662
-2.0029,3,22543.026837
-2.00285,2,22558.424612
-2.0069,3,22583.17979
-2.00305,2,22598.269539
-2.01275,5,22629.196784
-2.00915,4,22661.508004
-2.01625,6,22700.401838
-2.00065,3,22720.99176
-2.0325,11,22800.428482
-2.00225,3,22818.43856
-2.00615,5,22855.272565
-2.0041,3,22876.079216
-2.03465,10,22938.489508
-2.0077,4,22965.971353
-2.0089,5,22999.865951
-2.0057,5,23034.925883
-2.00965,9,23087.183753
-2.01095,5,23118.656911
-2.01335,8,23171.597115
-2.0189,7,23224.372878
-2.01725,6,23267.579034
-2.01095,4,23297.419883
-2.0178,7,23350.470927
-2.0138,5,23385.531666
-2.0128,14,23477.087926
-2.0445,16,23592.776699
-2.01275,6,23634.044833
-2.00465,2,23650.270926
-2.03795,15,23756.293337
-2.0159,10,23822.716848
-2.01095,8,23872.360368
-2.00265,2,23887.681247
-2.01025,6,23933.226128
-2.00345,2,23948.794141
-2.0116,14,24047.995931
-2.00265,2,24065.418735
-2.0292,10,24133.959818
-2.01325,7,24179.727549
-2.0285,13,24260.274666
-2.0045,4,24286.393451
-2.0171,7,24330.337915
-2.00615,6,24376.503229
-2.0061,5,24416.340193
-2.0123,7,24468.071108
-2.0159,7,24510.568221
-2.01025,8,24569.984728
-2.0146,5,24603.677541
-2.034,9,24664.914286
-2.0089,4,24690.716124
-2.00345,4,24720.493255
-2.016,9,24784.682358
-2.0219,9,24843.533872
-2.0073,3,24866.162163
-2.00305,3,24888.520887
-2.02985,14,24983.754214
-2.0114,6,25027.261434
-2.0231,7,25078.55126
-2.0243,10,25147.79194
-2.02565,11,25227.036862
-2.0065,7,25281.744567
-2.00325,3,25304.524888
-2.02925,12,25400.158814
-2.00345,3,25424.754629
-2.0077,4,25454.190845
-2.02745,11,25534.757249
-2.00345,2,25553.030562
-2.0138,7,25605.820505
-2.02275,8,25669.13562
-2.0159,8,25731.115563
-2.02555,8,25791.532501
-2.00465,2,25804.819686
-2.00385,2,25819.577802
-2.03105,11,25898.765389
-2.0085,5,25934.33221
-2.0065,8,25988.122004
-2.00325,3,26006.344793
-2.00975,5,26040.077271
-2.03285,11,26107.767819
-2.0183,9,26174.697994
-2.0308,9,26242.284969
-2.0071,3,26265.057611
-2.0111,7,26316.14797
-2.0073,3,26338.912052
-2.0146,5,26372.396345
-2.00245,2,26387.978508
-2.01035,8,26442.928011
-2.0097,3,26463.849826
-2.00365,6,26506.789119
-2.0465,13,26593.236445
-2.0194,6,26633.947415
-2.0069,4,26659.784937
-2.0081,10,26730.739257
-2.02145,15,26831.153403
-2.0445,12,26906.148116
-2.0196,12,26992.359792
-2.02675,14,27082.878285
-2.01625,8,27134.968883
-2.02225,8,27189.224599
-2.00305,3,27209.525854
-2.0053,4,27241.780164
-2.01335,4,27272.362134
-2.013,5,27310.243688
-2.00385,2,27326.54401
-2.02225,6,27365.834953
-2.00145,2,27381.041492
-2.01575,5,27414.689474
-2.03135,8,27468.258335
-2.0183,10,27539.22541
-2.05525,15,27637.262833
-2.00405,2,27650.091838
-2.00915,5,27683.562726
-2.0093,4,27709.239578
-2.00225,2,27724.128361
-2.0136,8,27778.317979
-2.0465,13,27865.802963
-2.0065,4,27899.018383
-2.00445,2,27911.766145
-2.00465,2,27924.920943
-2.0089,5,27956.017299
-2.01215,4,27986.176067
-2.00915,6,28024.945418
-2.027,13,28113.241529
-2.0195,7,28165.337774
-2.00345,7,28213.910026
-2.0308,9,28274.086471
-2.0194,5,28312.116625
-2.0267,8,28365.975472
-2.01945,8,28426.153701
-2.00405,2,28441.411447
-2.0486,13,28532.068602
-2.0049,6,28575.363613
-2.00105,2,28595.095428
-2.02225,6,28637.793285
-2.01695,4,28665.695464
-2.0648,18,28785.31403
-2.02325,7,28835.740774
-2.005,8,28884.762359
-2.00365,2,28902.407496
-2.0122,5,28934.306854
-2.01155,7,28982.524489
-2.02325,7,29033.07201
-2.0226,7,29076.997693
-2.00405,6,29120.742731
-2.0215,7,29166.552633
-2.01625,6,29209.943193
-2.02245,10,29270.989607
-2.00185,2,29284.195658
-2.03585,10,29355.40518
-2.0421,11,29432.048596
-2.0183,9,29489.086591
-2.0069,4,29514.774645
-2.00435,5,29543.668808
-2.03105,10,29610.091065
-2.00425,4,29640.15362
-2.02025,11,29714.213918
-2.00265,2,29729.261495
-2.0178,5,29764.932838
-2.01085,8,29823.472416
-2.00385,7,29873.370093
-2.01645,8,29924.604155
-2.06675,17,30034.667167
-2.00265,10,30094.688214
-2.0077,9,30147.408175
-2.03135,14,30228.112047
-2.02975,8,30277.382362
-2.0045,3,30295.605438
-2.0097,4,30319.181765
-2.00225,2,30332.19561
-2.0045,5,30366.720159
-2.0138,5,30402.303487
-2.00305,3,30422.742979
-2.0324,13,30509.346996
-2.01425,8,30561.236926
-2.00405,2,30573.974461
-2.02325,11,30641.656878
-2.018,10,30707.07935
-2.0114,6,30743.800584
-2.00975,4,30769.647089
-2.051,13,30851.353034
-2.03115,8,30903.469396
-2.0093,5,30936.68435
-2.0305,11,31006.835686
-2.0122,7,31050.815207
-2.0445,12,31132.677402
-2.0037,3,31157.783996
-2.0356,10,31221.956745
-2.00205,2,31237.541991
-2.0069,5,31269.450827
-2.026,12,31345.285222
-2.00205,3,31363.621226
-2.00795,10,31423.940526
-2.00425,3,31442.191332
-2.02315,26,31617.051784
-2.0332,10,31687.549878
-2.00405,3,31707.889255
-2.00385,2,31725.315491
-2.0265,11,31802.058834
-2.0097,4,31827.681118
-2.00225,4,31855.725879
-2.01095,6,31898.887751
-2.05835,21,32044.585595
-2.03295,9,32103.098326
-2.00735,4,32130.987258
-2.0145,16,32231.496229
-2.00445,4,32261.657806
-2.0051,8,32313.619988
-2.0135,20,32431.510091
-2.00245,2,32446.469472
-2.00465,4,32479.386894
-2.00405,4,32512.150854
-2.00385,9,32576.081561
-2.00425,2,32591.361994
-2.0098,6,32640.968555
-2.0069,5,32676.520189
-2.0574,20,32811.805883
-2.0069,3,32834.809939
-2.0333,19,32967.587013
-2.00265,5,33009.314304
-2.02565,19,33141.184029
-2.0267,8,33195.83157
-2.00245,3,33220.732694
-2.00265,2,33238.060457
-2.0073,7,33288.800698
-2.034,11,33361.378234
-2.00385,4,33389.437808
-2.0114,5,33422.861746
-2.00225,11,33492.540894
-2.00795,5,33528.040336
-2.02275,13,33620.020647
-2.005,12,33701.829899
-2.00345,2,33715.017435
-2.0356,9,33774.208607
-2.0045,3,33797.081842
-2.00305,8,33848.27494
-2.00205,2,33865.687765
-2.01425,6,33906.549729
-2.00405,2,33919.393044
-2.01335,8,33983.80492
-2.0081,9,34041.566309
-2.034,11,34109.845003
-2.0098,5,34140.808114
-2.02665,14,34223.397564
-2.0207,8,34278.324666
-2.01515,8,34327.964513
-2.01335,8,34373.029085
-2.0138,11,34444.335419
-2.0106,5,34475.867665
-2.0228,9,34539.990341
-2.00675,4,34563.521335
-2.0183,7,34603.957434
-2.00205,3,34626.198461
-2.009,5,34655.325779
-2.0098,6,34692.209849
-2.0049,6,34733.131863
-2.0552,14,34828.329415
-2.0186,5,34860.133019
-2.0276,10,34918.307579
-2.00545,9,34973.969196
-2.0057,8,35018.807426
-2.026,9,35068.987461
-2.0065,3,35087.172737
-2.10215,20,35222.14835
-2.0109,3,35244.648416
-2.0065,4,35270.820035
-2.00305,2,35286.059408
-2.0456,18,35394.514652
-2.0061,6,35433.284267
-2.00365,10,35501.740042
-2.02625,13,35578.409573
-2.00365,2,35591.1687
-2.0073,5,35624.51339
-2.0066,7,35670.992673
-2.0325,11,35745.218384
-2.00795,6,35784.18729
-2.00445,2,35799.136651
-2.02125,7,35845.433574
-2.00265,2,35860.525572
-2.00915,4,35888.071994
-2.0279,13,35965.442745
-2.00365,5,35996.353246
-2.02425,7,36044.58573
-2.0146,7,36099.131395
-2.0657,20,36232.478312
-2.02695,9,36295.338196
-2.00495,7,36346.338276
-2.05175,20,36474.227432
-2.0292,11,36545.746916
-2.0528,13,36630.5373
